observation_id,service,latency_ms,alert_type
1,orders,112.7,none
2,orders,109.83,none
3,telemetry,99.02,none
4,telemetry,94.44,none
5,telemetry,97.09,none
6,identity,94.36,none
7,telemetry,106.94,injection_signature
8,orders,114.66,none
9,identity,110.65,none
10,identity,105.1,authentication
11,telemetry,115.13,none
12,orders,112.38,authentication
13,telemetry,111.51,rate_limit
14,orders,111.6,injection_signature
15,identity,75.21,none
16,orders,123.39,none
17,identity,100.91,none
18,identity,93.72,none
19,orders,210.1,none
20,orders,98.53,none
21,identity,79.54,none
22,identity,111.24,none
23,telemetry,98.65,none
24,orders,118.36,injection_signature
25,identity,114.83,none
26,telemetry,97.86,none
27,orders,112.51,none
28,telemetry,100.32,none
29,telemetry,116.83,none
30,identity,79.74,none
31,orders,114.53,none
32,telemetry,102.82,none
33,telemetry,147.26,authentication
34,orders,119.22,authentication
35,orders,120.3,injection_signature
36,telemetry,98.46,rate_limit
37,identity,95.87,none
38,orders,104.51,authentication
39,telemetry,145.52,none
40,orders,119.32,none
41,orders,126.63,authentication
42,orders,113.59,none
43,identity,81.47,rate_limit
44,orders,138.55,none
45,identity,81.32,rate_limit
46,telemetry,110.88,none
47,telemetry,106.68,none
48,identity,106.64,none
49,telemetry,114.19,none
50,identity,88.68,none
51,identity,82.36,none
52,identity,116.24,none
53,orders,106.96,authentication
54,telemetry,140.39,authentication
55,orders,103.44,none
56,identity,86.75,none
57,identity,118.81,authentication
58,telemetry,95.77,none
59,orders,114.42,none
60,orders,171.59,rate_limit
61,identity,78.48,authentication
62,orders,115.04,none
63,identity,76.78,authentication
64,identity,114.41,none
65,orders,139.51,authentication
66,orders,158.59,none
67,orders,103.49,none
68,identity,100.24,none
69,orders,119.38,none
70,orders,141.15,authentication
71,orders,119.53,none
72,telemetry,105.31,rate_limit
73,orders,111.98,none
74,orders,115.18,none
75,identity,86.66,none
76,identity,93.13,none
77,telemetry,86.78,none
78,identity,132.26,rate_limit
79,orders,110.19,none
80,identity,79.9,none
81,identity,86.44,injection_signature
82,telemetry,126.11,none
83,orders,128.33,authentication
84,identity,91.63,authentication
85,telemetry,109.28,none
86,telemetry,104.14,none
87,orders,154.32,authentication
88,orders,223.8,injection_signature
89,identity,94.89,none
90,orders,105.75,none
91,orders,112.61,authentication
92,identity,88.49,none
93,telemetry,97.95,none
94,telemetry,125.26,rate_limit
95,telemetry,97.87,none
96,identity,82.03,none
97,identity,92.78,none
98,identity,75.76,none
99,orders,109.52,none
100,identity,77.42,none
101,identity,103.89,none
102,identity,85.96,none
103,orders,133.11,authentication
104,orders,106.05,none
105,orders,103.69,none
106,identity,110.45,none
107,telemetry,112.92,authentication
108,telemetry,133.79,none
109,telemetry,92.27,authentication
110,telemetry,91.57,none
111,telemetry,96.49,none
112,telemetry,144.27,none
113,identity,98.21,none
114,telemetry,138.71,none
115,identity,106.0,none
116,orders,114.52,rate_limit
117,telemetry,90.19,none
118,telemetry,104.62,none
119,identity,89.35,none
120,telemetry,147.79,none
121,identity,94.36,authentication
122,identity,98.11,authentication
123,identity,125.53,none
124,orders,102.65,none
125,identity,88.57,none
126,orders,117.39,none
127,orders,109.86,none
128,identity,85.39,none
129,telemetry,112.72,none
130,orders,112.54,authentication
131,orders,100.12,none
132,identity,154.27,none
133,telemetry,177.87,none
134,orders,141.04,none
135,telemetry,104.22,authentication
136,identity,97.0,none
137,telemetry,117.05,none
138,telemetry,114.29,none
139,telemetry,90.77,none
140,orders,124.4,none
141,telemetry,109.77,none
142,orders,99.14,none
143,telemetry,106.92,authentication
144,identity,95.49,none
