measurement_id,hour,zone,outdoor_temp_c,indoor_temp_c,energy_kwh
1,1,north,2.14,21.02,41.31
2,2,north,1.37,19.99,39.36
3,3,north,1.35,20.39,43.58
4,4,north,1.59,19.98,45.55
5,5,north,2.3,20.74,41.09
6,6,north,3.06,20.8,44.74
7,7,north,4.71,21.95,43.22
8,8,north,6.69,21.0,40.49
9,9,north,7.33,21.49,40.25
10,10,north,8.6,21.73,38.39
11,11,north,9.3,22.24,38.31
12,12,north,10.64,21.95,34.06
13,13,north,11.0,22.12,38.87
14,14,north,12.53,22.74,36.0
15,15,north,11.83,21.12,37.02
16,16,north,12.62,21.69,33.51
17,17,north,11.42,21.66,32.9
18,18,north,11.05,21.76,39.21
19,19,north,9.98,21.4,34.15
20,20,north,7.57,21.92,38.71
21,21,north,6.64,21.07,39.99
22,22,north,5.74,20.96,41.55
23,23,north,4.47,21.34,42.81
24,24,north,3.47,20.7,42.89
25,25,north,2.08,20.42,40.96
26,26,north,1.65,20.26,43.88
27,27,north,2.3,20.85,43.73
28,28,north,1.78,21.31,45.55
29,29,north,2.61,21.3,44.19
30,30,north,2.99,21.18,45.84
31,31,north,3.57,21.09,44.7
32,32,north,5.79,21.01,38.16
33,33,north,7.25,21.36,39.87
34,34,north,8.85,21.01,39.34
35,35,north,9.35,21.68,36.83
36,36,north,10.57,22.18,40.22
37,37,north,10.79,21.03,35.5
38,38,north,12.56,22.53,32.36
39,39,north,12.87,20.99,31.04
40,40,north,12.01,21.53,34.65
41,41,north,11.56,21.35,35.04
42,42,north,10.79,21.43,35.89
43,43,north,10.47,21.56,32.13
44,44,north,8.83,22.12,38.42
45,45,north,7.51,20.97,42.05
46,46,north,5.51,20.81,39.81
47,47,north,4.05,20.75,43.81
48,48,north,3.61,20.79,41.5
49,1,south,1.49,21.33,39.85
50,2,south,1.92,21.07,44.27
51,3,south,0.92,21.68,43.76
52,4,south,2.04,21.62,43.17
53,5,south,2.47,22.16,46.01
54,6,south,2.71,22.3,40.68
55,7,south,4.35,21.21,39.25
56,8,south,5.07,22.69,39.0
57,9,south,6.53,22.35,40.61
58,10,south,8.25,22.87,38.07
59,11,south,9.41,22.37,33.04
60,12,south,11.33,22.9,31.56
61,13,south,12.7,23.0,33.03
62,14,south,12.31,23.31,33.65
63,15,south,12.5,22.45,33.41
64,16,south,12.65,22.47,33.46
65,17,south,11.62,22.52,32.71
66,18,south,11.09,23.19,34.93
67,19,south,8.9,23.05,36.85
68,20,south,8.11,21.79,34.14
69,21,south,6.3,22.35,34.88
70,22,south,4.71,21.94,39.52
71,23,south,4.67,21.84,38.13
72,24,south,2.97,22.02,37.31
73,25,south,2.94,22.61,42.21
74,26,south,2.36,21.98,41.92
75,27,south,1.47,21.43,44.82
76,28,south,1.49,21.35,41.61
77,29,south,1.89,21.9,41.56
78,30,south,2.01,21.81,38.12
79,31,south,4.0,22.4,42.7
80,32,south,5.45,22.66,39.73
81,33,south,6.69,22.27,39.28
82,34,south,7.98,22.57,35.66
83,35,south,9.7,23.22,34.62
84,36,south,10.72,23.15,34.61
85,37,south,11.82,22.27,31.28
86,38,south,11.86,22.04,31.2
87,39,south,13.34,22.22,36.05
88,40,south,12.55,21.96,33.07
89,41,south,11.68,22.84,31.53
90,42,south,10.53,21.99,30.9
91,43,south,9.31,22.73,32.48
92,44,south,8.77,22.0,36.25
93,45,south,6.81,22.61,35.08
94,46,south,5.59,22.34,35.84
95,47,south,4.43,22.01,38.75
96,48,south,2.86,21.98,41.33
