specimen_id,strength_mpa
1,43.56
2,40.05
3,42.32
4,38.4
5,42.44
6,41.24
7,42.9
8,49.71
9,37.37
10,46.76
11,42.21
12,41.88
13,32.96
14,45.9
15,36.97
16,37.87
17,40.69
18,40.47
19,38.2
20,47.93
21,44.66
22,51.97
23,38.75
24,38.57
25,50.14
26,36.58
27,43.09
28,40.66
29,40.85
30,36.01
31,39.11
32,50.19
33,42.65
34,48.33
35,39.35
36,42.58
37,44.74
38,44.68
39,41.22
40,42.31
41,46.62
42,43.37
43,34.59
44,39.47
45,37.39
46,34.91
47,45.42
48,46.53
49,38.79
50,40.7
51,50.35
52,41.37
53,41.67
54,43.35
55,47.51
56,44.15
57,46.55
58,37.99
59,45.67
60,41.7
61,38.68
62,44.38
63,52.73
64,42.98
65,46.41
66,40.97
67,35.56
68,44.37
69,37.85
70,41.14
71,50.32
72,34.52
73,43.59
74,44.24
75,43.43
76,39.62
77,42.87
78,38.09
79,48.6
80,42.77
81,47.62
82,40.87
83,45.74
84,45.0
85,37.3
86,48.76
87,53.46
88,46.58
89,36.46
90,38.57
91,32.76
92,38.7
93,49.55
94,46.45
95,38.06
96,36.8
97,39.38
98,46.66
99,44.18
100,48.39
101,39.41
102,42.63
103,39.12
104,41.28
105,40.81
106,40.87
107,44.59
108,40.13
109,41.51
110,38.38
111,47.18
112,49.36
113,50.35
114,45.56
115,41.99
116,38.23
117,37.72
118,41.82
119,36.94
120,45.35
121,43.21
122,36.52
123,41.24
124,45.73
125,47.01
126,43.09
127,44.86
128,43.56
129,40.31
130,42.85
131,42.75
132,39.79
133,43.27
134,42.15
135,43.84
136,42.3
137,42.21
138,34.69
139,52.08
140,45.26
141,44.08
142,49.62
143,46.42
144,44.26
145,45.01
146,49.24
147,43.37
148,36.63
149,35.96
150,48.05
151,41.44
152,44.52
153,41.91
154,44.14
155,38.73
156,44.23
157,32.76
158,41.11
159,36.59
160,42.27
