incident_id,repair_time_min
1,80.99
2,2.46
3,30.32
4,38.91
5,410.66
6,26.42
7,3.99
8,83.98
9,132.51
10,229.99
11,105.65
12,51.07
13,10.6
14,210.46
15,6.25
16,2.67
17,96.79
18,17.28
19,98.28
20,15.74
21,56.22
22,35.97
23,19.01
24,39.79
25,152.41
26,8.36
27,7.89
28,72.87
29,23.74
30,3.65
31,14.1
32,121.57
33,34.73
34,9.85
35,61.47
36,39.94
37,22.16
38,5.32
39,5.35
40,26.94
41,84.75
42,2.32
43,27.26
44,60.94
45,13.77
46,19.79
47,37.95
48,17.27
49,60.49
50,101.16
51,3.07
52,58.26
53,282.29
54,199.2
55,62.43
56,31.81
57,233.0
58,140.0
59,23.5
60,43.82
61,46.7
62,65.51
63,2.36
64,71.7
65,121.14
66,148.15
67,31.64
68,70.91
69,112.0
70,27.88
71,93.76
72,127.69
73,53.81
74,16.07
75,35.33
76,15.23
77,26.33
78,33.89
79,196.16
80,146.47
81,97.1
82,24.06
83,47.62
84,110.02
85,41.79
86,168.14
87,71.75
88,65.71
89,23.54
90,44.94
91,192.04
92,24.81
93,61.28
94,17.17
95,153.83
96,15.46
97,105.44
98,156.37
99,71.05
100,43.74
101,4.41
102,128.31
103,60.75
104,105.43
105,1.11
106,27.45
107,180.58
108,3.14
109,52.98
110,78.47
111,138.74
112,83.74
113,15.59
114,109.43
115,13.63
116,160.88
117,55.58
118,230.86
119,51.94
120,58.76
121,22.7
122,127.48
123,5.68
124,27.75
125,212.92
126,22.03
127,284.43
128,15.95
129,21.95
130,52.04
131,179.18
132,85.46
133,36.83
134,72.09
135,38.15
136,32.73
137,9.31
138,72.92
139,73.43
140,6.98
141,115.71
142,21.25
143,9.86
144,140.02
145,6.21
146,62.19
147,130.44
148,56.72
149,172.1
150,63.9
151,89.57
152,8.26
153,60.99
154,78.34
155,22.49
156,35.67
157,10.33
158,7.75
159,181.09
160,74.1
161,10.39
162,107.45
163,77.28
164,12.19
165,95.97
166,154.31
167,38.53
168,174.64
169,18.27
170,22.28
171,22.21
172,36.44
173,27.61
174,79.25
175,9.22
176,41.75
177,31.63
178,244.85
179,143.41
180,9.26
